EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
152,proton,516.583986,119.068580,-1.377559,-92.000000,1.453409,89.254985,-90.325237,-0.005676,-0.999899,0.013003
53,proton,517.799850,265.411818,-0.513965,-92.000000,-1.968965,89.342400,-89.928859,0.001242,-0.999933,0.011477
356,proton,520.642908,122.015698,-0.807801,-92.000000,-2.884483,90.924734,-89.807118,0.003366,-0.999864,-0.016139
254,proton,513.336458,119.644311,-2.128700,-92.000000,0.407786,90.060095,-90.659599,-0.011512,-0.999933,-0.001049
357,proton,515.227259,203.619629,-1.582215,-92.000000,-1.399963,90.537256,-90.057152,-0.000997,-0.999956,-0.009377
255,proton,514.531352,123.455998,-2.486594,-92.000000,-0.708885,90.019454,-90.147967,-0.002583,-0.999997,-0.000340
358,proton,513.409197,117.998446,-2.524175,-92.000000,1.247917,88.486945,-90.187311,-0.003268,-0.999646,0.026405
156,proton,516.983546,272.667922,-1.975450,-92.000000,2.113437,89.917100,-90.254820,-0.004447,-0.999989,0.001447
256,proton,516.495727,241.110958,-0.702875,-92.000000,2.116660,90.488106,-90.149386,-0.002607,-0.999960,-0.008519
360,proton,515.861011,125.555109,-0.379048,-92.000000,1.718621,88.588331,-89.888447,0.001946,-0.999695,0.024636
158,proton,513.294793,122.171752,-0.806934,-92.000000,0.752266,90.088015,-90.114088,-0.001991,-0.999997,-0.001536
361,proton,515.622761,121.145729,2.477641,-92.000000,0.129137,90.033783,-89.222714,0.013566,-0.999908,-0.000590
57,proton,516.754574,121.037754,0.647993,-92.000000,0.330383,90.487223,-89.209843,0.013790,-0.999869,-0.008504
59,proton,516.163806,196.730078,0.246067,-92.000000,2.272656,89.110565,-90.122564,-0.002139,-0.999877,0.015523
263,proton,517.362531,125.376301,-2.390782,-92.000000,-0.148721,89.378352,-90.164326,-0.002868,-0.999937,0.010850
364,proton,516.862644,191.721242,-2.948731,-92.000000,-0.043077,89.259634,-90.263433,-0.004597,-0.999906,0.012921
60,proton,518.795700,123.158230,0.606751,-92.000000,2.150908,89.928588,-90.323072,-0.005639,-0.999983,0.001246
365,proton,515.903844,119.027993,2.241070,-92.000000,-1.412779,90.481788,-89.747048,0.004415,-0.999955,-0.008409
61,proton,515.428630,211.375376,-1.076209,-92.000000,0.745619,89.905261,-90.683434,-0.011928,-0.999927,0.001653
62,proton,512.619002,124.266346,-2.910072,-92.000000,-0.607452,88.921439,-89.959821,0.000701,-0.999823,0.018823
63,proton,513.750770,122.113018,-0.691390,-92.000000,-2.752585,90.166224,-89.353551,0.011282,-0.999932,-0.002901
266,proton,515.599168,205.182129,-0.769141,-92.000000,2.891766,89.901043,-89.876619,0.002153,-0.999996,0.001727
368,proton,515.160482,121.353802,-1.358208,-92.000000,0.855979,89.570812,-89.833517,0.002906,-0.999968,0.007491
64,proton,514.727752,116.841709,-0.991761,-92.000000,-2.346582,89.689515,-88.969599,0.017983,-0.999824,0.005419
167,proton,515.957152,333.350710,-0.384237,-92.000000,-0.703043,89.124728,-89.545967,0.007923,-0.999852,0.015276
369,proton,514.807043,268.039288,0.409277,-92.000000,-2.036049,90.404441,-90.821546,-0.014338,-0.999872,-0.007059
270,proton,516.136003,145.364065,-1.533368,-92.000000,0.772667,91.308597,-90.777627,-0.013568,-0.999647,-0.022837
66,proton,518.483989,161.346703,-1.887667,-92.000000,-0.891316,89.249324,-89.813776,0.003250,-0.999909,0.013101
169,proton,508.869381,121.169762,-0.279533,-92.000000,-1.199813,89.751939,-90.141809,-0.002475,-0.999988,0.004329
371,proton,511.845397,125.656356,0.567474,-92.000000,-0.688078,89.284573,-90.023493,-0.000410,-0.999922,0.012486
272,proton,517.923078,120.298858,-2.252725,-92.000000,-1.051934,90.403261,-89.967505,0.000567,-0.999975,-0.007038
68,proton,518.158690,122.623749,0.849713,-92.000000,-2.181341,90.061607,-90.520519,-0.009085,-0.999958,-0.001075
171,proton,517.811513,122.404817,-1.579658,-92.000000,0.898011,89.135580,-89.461307,0.009401,-0.999842,0.015086
69,proton,517.180014,120.353873,-1.576567,-92.000000,0.077144,90.044418,-89.852472,0.002575,-0.999996,-0.000775
274,proton,513.876344,122.932391,1.793615,-92.000000,-1.790380,89.382524,-89.488927,0.008919,-0.999902,0.010777
172,proton,517.792697,205.452304,1.498365,-92.000000,-1.902794,89.930168,-89.650968,0.006092,-0.999981,0.001219
71,proton,516.200725,150.737841,0.885300,-92.000000,0.143050,89.517491,-89.677541,0.005628,-0.999949,0.008421
375,proton,516.412009,121.522253,0.740640,-92.000000,-0.815153,90.438235,-89.228578,0.013463,-0.999880,-0.007649
275,proton,512.936313,236.297421,1.192482,-92.000000,0.416876,90.013879,-90.352809,-0.006158,-0.999981,-0.000242
72,proton,509.133455,327.096742,1.887531,-92.000000,1.818053,89.974273,-89.850743,0.002605,-0.999997,0.000449
376,proton,516.586701,346.980039,0.316297,-92.000000,1.686520,89.967205,-89.806650,0.003375,-0.999994,0.000572
173,proton,516.894176,154.017213,-2.586802,-92.000000,2.706660,88.894928,-91.360474,-0.023738,-0.999532,0.019286
73,proton,515.913738,122.678988,-1.121863,-92.000000,0.982168,89.298374,-91.266486,-0.022101,-0.999681,0.012245
174,proton,516.429063,122.854239,-1.114802,-92.000000,0.877498,90.248796,-91.099270,-0.019185,-0.999807,-0.004342
74,proton,518.618208,120.711637,-1.284409,-92.000000,0.636468,90.518960,-90.711028,-0.012409,-0.999882,-0.009057
278,proton,518.946452,175.843490,2.779978,-92.000000,-0.359388,89.981543,-90.102800,-0.001794,-0.999998,0.000322
